Name,Address,Type,License,Beds,Website,Avg. Violations
Benton House of Sugar Hill,"6009 Suwanee Dam Rd, Sugar Hill, GA 30518",Assisted Living Community,ALC000229,72,tel:770-904-0099,3.3
Benton House of Woodstock,"3385 Trickum Rd, Woodstock, GA 30188",Assisted Living Community,ALC000582,72,tel:770-726-8719,2.0
Benton Manor of Stockbridge,"195 Evergreen Terrace, Stockbridge, GA 30281",Personal Care Home,PCH008160,80,tel:770-389-3889,0.0
Berman Commons Assisted Living and Memory Care,"2026 Womack Rd, Dunwoody, GA 30338",Assisted Living Community,ALC000165,120,https://www.bermancommons.org,1.0
Bethel Gardens,"3805 Jackson Way, Powder Springs, GA 30127",Personal Care Home,PCH009223,48,http://www.bethelgardens.com,5.0
Big Springs Place,"131 Melissa Ln, Cedartown, GA 30125",Personal Care Home,PCH009084,50,http://www.enlivant.com/communities/georgia/big-springs-place-cedartown,3.0
Blue Ridge Assisted Living and Memory Care,"1600 Ballewtown Rd, Blue Ridge, GA 30513",Assisted Living Community,ALC000245,134,https://www.blueridgeassistedliving.com,0.3
Bountiful Hills Senior Living & Memory Care,"200 Bolton Dr, Commerce, GA 30529",Personal Care Home,PCH008709,44,https://www.bountifulhills.com,6.0
Brasstown Manor,"108 Church St, Hiawassee, GA 30546",Assisted Living Community,ALC000017,48,http://brasstownmanor.com/,3.8
Brickmont Acworth SPE,"3144 Cobb Parkway, Acworth, GA 30101",Assisted Living Community,Pending,144,tel:770-886-4074,0.0
Brickmont Assisted Living,"2925 Webb Rd, Alpharetta, GA 30004",Assisted Living Community,ALC000230,124,https://www.brickmont.com,0.0
Brickmont Woodstock SPE,"13291 Highway 92, Woodstock, GA 30188",Assisted Living Community,ALC000572,144,https://www.brickmont.com/senior-living-communities/brickmont-of-woodstock/,1.0
"Bridge at Lawrenceville, The","220 Collins Industrial Way, Lawrenceville, GA 30043",Personal Care Home,67030161,85,https://www.centurypa.com/senior-living/bridge-lawrenceville/,8.7
Brightmoor Senior Living,"3223 Newnan Rd, Griffin, GA 30223",Personal Care Home,126030031,69,,2.3
Brighton Gardens of Buckhead,"3088 Lenox Rd NE, Atlanta, GA 30324",Assisted Living Community,ALC000025,125,https://www.sunriseseniorliving.com/communities/brighton-gardens-of-buckhead/overview.aspx,1.8
Brighton Gardens of Dunwoody,"1240 Ashford Center Pkwy, Atlanta, GA 30338",Assisted Living Community,ALC000026,125,https://www.sunriseseniorliving.com/communities/brighton-gardens-of-dunwoody/overview.aspx?DS_C=Paid_Search&mediaphone=8886453959&utm_content=Brand+-+Brighton+Gardens+-+GA+-+Dunwoody+(Exact)&utm_source=google&utm_medium=cpc&utm_campaign=Sunrise+-+Brand+-+,1.6
Brookdale Augusta,"326 Boy Scout Rd, Augusta, GA 30909",Personal Care Home,121030121,48,https://www.brookdale.com/en/communities/brookdale-augusta.html,9.0
Brookdale Buford,"4450 Old Hamilton Mill Rd, Buford, GA 30518",Personal Care Home,PCH008478,64,https://www.brookdale.com/en/communities/brookdale-buford.html,10.0
Brookdale Canton,"125 Riverstone Terrace, Canton, GA 30114",Personal Care Home,PCH009785,100,https://www.brookdale.com/en/communities/brookdale-canton-ga.html,1.3
Brookdale Carrollton,"530 Northside Dr, Carrollton, GA 30117",Assisted Living Community,ALC000115,100,https://www.brookdale.com/en/communities/brookdale-carrollton.html,0.8
Brookdale Chambrel Roswell,"1000 Applewood Dr, Roswell, GA 30076",Personal Care Home,60030061,30,https://www.brookdale.com/en/communities/brookdale-chambrel-roswell.html,2.5
Brookdale Chambrel Roswell Mc,"2000 Applewood Dr, Roswell, GA 30076",Assisted Living Community,ALC000216,36,https://www.brookdale.com/en/communities/brookdale-chambrel-roswell.html,0.5
Brookdale Columbus,"3607 Weems Rd, Columbus, GA 31909",Personal Care Home,106030171,56,https://www.brookdale.com/en/communities/brookdale-columbus.html,3.2
Brookdale Hartwell,"45 Walnut St, Hartwell, GA 30643",Personal Care Home,73030031,50,https://www.brookdale.com/en/communities/brookdale-hartwell.html,1.4
Brookdale Lawrenceville,"1000 River Centre Pl, Lawrenceville, GA 30043",Personal Care Home,67030141,72,https://www.brookdale.com/en/communities/brookdale-lawrenceville.html,4.7
Brookdale Macon,"250 Water Tower Ct, Macon, GA 31210",Assisted Living Community,ALC000272,60,https://www.brookdale.com/en/communities/brookdale-macon.html,1.3
Brookdale Neese Road Woodstock,"756 Neese Rd, Woodstock, GA 30188",Personal Care Home,28030091,75,https://www.brookdale.com/en/communities/brookdale-neese-rd-woodstock.html,4.7
Brookdale Newnan,"355 Millard Farmer Industrial Blvd, Newnan, GA 30263",Assisted Living Community,ALC000598,28,tel:770-252-9007,0.0
Brookdale Rome,"180 Woodrow Wilson Way NW, Rome, GA 30165",Assisted Living Community,ALC000113,100,https://www.brookdale.com/en/communities/brookdale-rome.html,0.7
Brookdale South Lee Buford,"4355 S Lee St, Buford, GA 30518",Personal Care Home,PCH009786,67,https://www.brookdale.com/en/communities/brookdale-south-lee-buford.html,1.8
Brookdale Sweetwater Creek,"1600 Lee Rd, Lithia Springs, GA 30122",Personal Care Home,48030051,67,https://www.brookdale.com/en/communities/brookdale-sweetwater-creek.html,8.3
Brookdale Vinings,"2401 Cumberland Pkwy SE, Atlanta, GA 30339",Personal Care Home,PCH008477,116,https://www.brookdale.com/en/communities/brookdale-vinings.html,10.0
Brookdale Woodstock,"1000 Professional Pkwy, Woodstock, GA 30188",Personal Care Home,28030041,70,https://www.brookdale.com/en/communities/brookdale-woodstock.html,2.8
Brookside Commerce,"199 West W Gary Road, Commerce, GA 30529",Personal Care Home,PCH008810,50,http://brooksidegeorgia.com/brookside-of-commerce.shtml,9.4
Brookside Glen,"400 Bradley Park Dr, Columbus, GA 31904",Assisted Living Community,ALC000564,48,http://www.brooksideglenal.com,1.4
Brookside Stone Mountain,"1745 Parke Plaza Cir SW, Stone Mountain, GA 30087",Personal Care Home,PCH008811,60,http://brooksidegeorgia.com/brookside-of-stone-mountain.shtml,13.0
Buckingham South,"5450 Abercorn St, Savannah, GA 31405",Assisted Living Community,ALC000117,92,https://www.buckinghamsouth.com,1.3
Cadence at Mt Zion,"7493 Mt Zion Blvd, Jonesboro, GA 30236",Assisted Living Community,ALC000561,133,https://cadencemtzion.com,3.0
Cadence Marietta,"1345 Milford Church Rd SW, Marietta, GA 30008",Assisted Living Community,ALC000560,133,https://cadencemarietta.com,3.3
Camellia Place,"294 Rope Mill Rd, Woodstock, GA 30188",Assisted Living Community,ALC000210,110,https://www.camelliaplace.com,1.0
Camellia Walk Assisted Living and Memory Care,"3949 Evans to Locks Rd, Evans, GA 30809",Assisted Living Community,ALC000254,95,https://camelliawalk.com,1.2
Cameron Hall of Ellijay,"114 Penland St, Ellijay, GA 30540",Personal Care Home,PCH008333,70,https://www.fivestarseniorliving.com/communities/ga/ellijay/cameron-hall-ellijay,4.0
Cameron Hall Senior Living Communities,"240 Marietta Hwy, Canton, GA 30114",Assisted Living Community,ALC000107,105,https://www.fivestarseniorliving.com/communities/ga/canton/cameron-hall-canton,3.3
Cannon Wood Village,"2834 Old 441 S, Tiger, GA 30576",Personal Care Home,119020051,32,https://www.cannonwoodvillage.com,10.7
Canterfield of Kennesaw,"4381 Bells Ferry Rd, Kennesaw, GA 30144",Assisted Living Community,ALC000252,99,http://www.canterfieldofkennesaw.com,1.5
Carlyle Place Retirement Commu,"5300 Zebulon Rd, Macon, GA 31210",Personal Care Home,11030141,66,tel:478-405-4500,1.5
Carriage House of Southern Plantation,"690 Tommy Lee Fuller Dr, Loganville, GA 30052",Personal Care Home,PCH006952,43,https://www.seniorcaring.com/care-in-loganville-georgia/carriage-house-of-southern-plantation,9.5
Cedar Hill Senior Living Community,"402 E Ellawood Ave, Cedartown, GA 30125",Personal Care Home,PCH008895,60,https://www.charterseniorliving.com/our-communities/cedar-hill/,3.4
Cedar Plantation Senior Living & Alzheimers Community,"46637 GA-46, Metter, GA 30439",Personal Care Home,21030011,36,tel:912-685-4700,9.0
Celebration Village Acworth,"4460 Celebration Blvd, Acworth, GA 30101",Assisted Living Community,ALC000260,100,https://cvillage.com,0.0
Celebration Village Forsyth,"3000 Celebration Blvd, Suwanee, GA 30024",Assisted Living Community,ALC000278,100,https://cvillage.com,0.5
Charter Senior Living at Southern Pines,"423 Covington Ave, Thomasville, GA 31792",Personal Care Home,PCH009733,102,tel:229-226-6074,7.5
"Claiborne at West Lake, The","557 Furys Ferry Rd, Martinez, GA 30907",Assisted Living Community,ALC000566,111,tel:706-955-4549,0.0
Clary Care Center & Wilkinson,"249 Hospital Rd, Toccoa, GA 30577",Personal Care Home,127030011,104,https://stephenscountyhospital.com/services/personal-care-homes/clary-care-center/,0.8
Cobblestone Assisted Living at Park Springs,"600 Springhouse Cir, Stone Mountain, GA 30087",Assisted Living Community,ALC000005,94,https://www.parksprings.com/continuing-care/cobblestone/,1.0
Cobis Personal Care Home,"7200 Manor Rd, Columbus, GA 31907",Personal Care Home,106030081,100,https://www.assistedliving.com/georgia/columbus/cobis-personal-care-home/,0.0
"Cohen Home, The","10485 Jones Bridge Rd, Johns Creek, GA 30022",Assisted Living Community,ALC000103,47,https://www.cohenhome.org,1.5
Cottage Landing Memory Care Building / Cottage Landing,"150 Cottage Ln, Carrollton, GA 30117",Assisted Living Community and Personal Care Home,ALC000162,PCH008532,,8.6
"Cottages on Wesleyan Al, The","1633 Wesleyan Dr, Macon, GA 31210",Assisted Living Community,ALC000020,39,http://www.cottagesonwesleyan.com,1.0
Country Gardens Duluth,"3450 Duluth Park Ln NW, Duluth, GA 30096",Personal Care Home,PCH008649,76,https://www.ssmgrp.com/communities/georgia/country-gardens-duluth/,8.3
Country Gardens Dunwoody,"4594 Barclay Dr, Dunwoody, GA 30338",Personal Care Home,PCH008648,50,https://www.ssmgrp.com/communities/georgia/country-gardens-dunwoody/,10.5
Country Gardens Lanier Senior Living,"255 Elm St, Cumming, GA 30040",Personal Care Home,PCH009162,50,https://www.ssmgrp.com/communities/georgia/country-gardens-lanier/,6.0
Country Gardens Senior Living,"7175 Lester Rd, Union City, GA 30291",Personal Care Home,PCH008498,50,https://www.ssmgrp.com/communities/georgia/country-gardens-union-city/,3.0
Covenant Woods Retirement Community,"5424 Woodruff Farm Rd, Columbus, GA 31907",Personal Care Home,PCH008570,29,http://www.covenantwoodsretirement.com,0.5
Coventry Place,"2806 N Decatur Rd, Decatur, GA 30033",Personal Care Home,44030071,75,http://coventryplace-ga.com/,11.8
Cumming Manor Personal Care,"2775 Castleberry Rd, Cumming, GA 30040",Personal Care Home,58030011,40,http://www.cummingnursing.com/,8.5
Dahlonega Assisted Living,"55 Mechanicsville Road, Dahlonega, GA 30533",Assisted Living Community,ALC000624,144,tel:706-864-3000,0.0
Dalton Place,"1300 W Waugh St, Dalton, GA 30720",Assisted Living Community,ALC000188,75,http://www.enlivant.com/communities/georgia/dalton-place-dalton,1.5
Daybreak Village Senior Living Community,"3056 Cherokee St NW, Kennesaw, GA 30144",Personal Care Home,33030271,65,tel:678-848-2035,1.6
Delmar Gardens of Gwinnett,"3100 Club Dr, Lawrenceville, GA 30044",Assisted Living Community,ALC000119,100,https://www.delmargardens.com/facilities/delmar-gardens-of-gwinnett-independent/,1.3
Delmar Gardens of Smyrna,"404 King Springs Village Pkwy, Smyrna, GA 30082",Assisted Living Community,ALC000134,92,https://www.delmargardens.com/facilities/delmar-gardens-of-smyrna-independent/,1.4
Discovery Village at Sugarloaf,"1220 Satellite Blvd, Suwanee, GA 30024",Personal Care Home,PCH008512,110,https://www.discoveryvillages.com/senior-living/ga/suwanee/discovery-village-at-sugarloaf/,17.5
Dogwood Forest of Acworth,"4461 S Main St, Acworth, GA 30101",Assisted Living Community,ALC000235,120,https://www.dogwoodforest.com/assisted-living-acworth-ga-community.html,7.3
Dogwood Forest of Dunwoody,"7400 Peachtree Dunwoody Rd, Atlanta, GA 30328",Assisted Living Community,ALC000123,86,https://www.dogwoodforest.com/assisted-living-dunwoody-ga-community.html,5.5
Dogwood Forest of Grayson,"1754 Grayson Hwy, Grayson, GA 30017",Assisted Living Community,ALC000536,110,https://www.dogwoodforest.com/assisted-living-grayson-ga-community.html,0.0
Dublin Place,"504 Firetower Rd, Dublin, GA 31021",Personal Care Home,PCH008814,60,http://www.enlivant.com/communities/georgia/dublin-place-dublin,1.2
Dunwoody Place Personal Care Home,"1460 S Johnson Ferry Rd NE, Atlanta, GA 30319",Personal Care Home,PCH009781,133,https://www.pegasusseniorliving.com/communities/dunwoody-place/,9.8
Eagles Landing Senior Living,"475 Country Club Dr, Stockbridge, GA 30281",Assisted Living Community,ALC000122,81,https://www.fivestarseniorliving.com/communities/ga/stockbridge/eagles-landing-senior-living,2.8
Eastside Gardens,"2078 Scenic Hwy S, Snellville, GA 30078",Personal Care Home,67030111,66,https://www.fivestarseniorliving.com/communities/ga/snellville/eastside-gardens,4.0
Elmcroft of Martinez,"515 The Pass, Augusta, GA 30907",Assisted Living Community,ALC000273,70,https://www.elmcroft.com/community/elmcroft-of-martinez-georgia/,1.0
Elmcroft of Roswell,"400 Marietta Hwy, Roswell, GA 30075",Assisted Living Community,ALC000274,75,https://www.elmcroft.com/community/elmcroft-of-roswell-georgia/,1.3
Evergreen Assisted Living Facility,"2823 Gillionville Rd, Albany, GA 31721",Assisted Living Community,ALC000538,42,https://www.centurypines.org,2.3
Fellowship Home at Brookside,"470 Fellowship Home Ln, Valdosta, GA 31602",Assisted Living Community,ALC000019,142,https://fellowshiphome.net/locations/fellowship-home-at-brookside/,0.0
Fellowship Home at Cordelia Manor,"1307 Blackshear Rd, Cordele, GA 31015",Assisted Living Community,ALC000277,44,https://fellowshiphome.net/locations/fellowship-home-cordelia-manor/,0.5
Fellowship Home at Cotton Hill,"6330 Hwy 82 West, Cuthbert, GA 39840",Assisted Living Community,ALC000275,41,https://fellowshiphome.net/locations/fellowship-home-cotton-hill/,0.0
Fellowship Home at Meriwether,"10 Meriwether Rd NW, Milledgeville, GA 31061",Assisted Living Community,ALC000253,80,https://fellowshiphome.net/locations/fellowship-home-meriwether/,0.0
Fellowship Home of Nashville,"1207 E Mcpherson Ave, Nashville, GA 31639",Assisted Living Community,ALC000181,52,https://fellowshiphome.net/locations/fellowship-home-at-nashville/,0.0
Felton Manor Personal Care,"16 Roving Rd, Cartersville, GA 30121",Personal Care Home,8030061,50,http://feltonmanor.com/,4.0
Femi Care Marietta Living Center,"447 Atlanta St SE, Marietta, GA 30060",Personal Care Home,PCH008897,45,https://femicares.com/mlc,5.2
Femi Care Southern Pines Living Center,"258 College St, Maysville, GA 30558",Personal Care Home,PCH008896,36,https://www.thepinesmaysville.com/,29.0
Fite Living Center,"5 Fite St, Cartersville, GA 30120",Personal Care Home,8030021,40,http://ste7en.com/fitecenter/index.html,3.0
Fountains in Cartersville,"925 Douthit Ferry Road, Cartersville, GA 30120",Assisted Living Community,ALC000596,75,tel:770-462-2062,4.0
"Gables at Cobb Village, The","12 Cobb Memorial St, Royston, GA 30662",Assisted Living Community,ALC000042,48,http://www.gablesvillage.com,1.3
Gaines Park Senior Living,"1740 Old 41 Hwy NW, Kennesaw, GA 30152",Personal Care Home,33030151,68,https://gainespark.com,1.2
"Gardenias, The","75 Dutch Town Rd, Hampton, GA 30228",Personal Care Home,75030091,48,http://www.thegardeniascareservices.com,2.0
"Gardens at Calvary ALC, The","7595 Moon Rd, Columbus, GA 31909",Assisted Living Community,ALC000022,100,http://thegardensatcalvary.com/,1.4
"Gardens at Royal Oaks, The","1218 Broadrick Dr, Dalton, GA 30720",Personal Care Home,155030021,48,https://www.hamiltonhealth.com/locations/gardens-personal-care-home/,0.5
"Gardens at Southern Manor, The","625 Gentilly Rd, Statesboro, GA 30458",Personal Care Home,PCH008993,44,http://thegardensstatesboro.com/,0.7
Gardens of Fayetteville,"1294 GA-54, Fayetteville, GA 30214",Personal Care Home,PCH008615,84,https://www.fivestarseniorliving.com/communities/ga/fayetteville/gardens-of-fayetteville,2.0
Gardens of Gainesville,"3315 Thompson Bridge Rd, Gainesville, GA 30506",Assisted Living Community,ALC000125,92,https://www.fivestarseniorliving.com/communities/ga/gainesville/gardens-of-gainesville,3.0
"Gardens of Lake Spivey, The","8080 Summit Business Pkwy, Jonesboro, GA 30236",Personal Care Home,PCH006430,72,https://www.fivestarseniorliving.com/communities/ga/jonesboro/palms-(gardens)-of-lake-spivey,0.8
"Gardens of Rome, The","1168 Chulio Rd SE, Rome, GA 30161",Personal Care Home,PCH001002,60,tel:706-802-0990,14.0
"Gardens of Savannah, The","249 Holland Dr, Savannah, GA 31419",Personal Care Home,PCH001092,46,tel:912-925-3445,14.6
Gardens of Shiloh Point,"7955 Majors Rd, Cumming, GA 30041",Assisted Living Community,ALC00196,54,https://www.fivestarseniorliving.com/communities/ga/cumming/gardens-of-shiloh-point,0.3
Gardens of Smyrna,"1418 W Spring St, Smyrna, GA 30080",Personal Care Home,PCH002692,40,,7.6
"Gardens of Social Circle II, The","621 N Cherokee Rd, Social Circle, GA 30025",Personal Care Home,PCH001028,50,tel:770-464-4211,6.4
Gateway Gardens Assisted Living and Memory Care,"138 Gateway Ln, Bethlehem, GA 30620",Assisted Living Community,ALC000534,64,https://gatewaygardensal.com,0.5
"Georgian Lakeside, The","1070 Hardscrabble Rd, Roswell, GA 30075",Assisted Living Community,ALC000255,95,https://thrivesl.com/georgianlakeside/,1.0
"Glen at Lake Oconee Village, The","1070 Old Salem Rd, Greensboro, GA 30642",Assisted Living Community,ALC000233,110,https://theglenlakeoconee.com,1.5
Golden Crest Assisted Living,"2160 Lake Harbin Rd, Morrow, GA 30260",Assisted Living Community,ALC000182,45,http://www.goldencrest.com,2.7
Golden Crest Assisted Living at Eagle's Landing,"425 Country Club Dr, Stockbridge, GA 30281",Assisted Living Community,ALC000179,62,http://www.goldencrest.com/eagleslanding,3.4
Governor's Glen Mem Care & Assisted Living Community,"5000 Governors Dr, Forest Park, GA 30297",Assisted Living Community,ALC000539,60,https://governorsglen.com,1.4
Grace Senior Living,"8847 Hospital Dr, Douglasville, GA 30134",Personal Care Home,48030061,60,https://www.graceseniorliving.net,0.8
Gracemont Assisted Living & Memory Care / Gracemont Assisted Living & Memory Care 2,"4960 Jot Em Down Rd, Cumming, GA 30041",Assisted Living Community,ALC000033,ALC000032,https://www.fivestarseniorliving.com/communities/ga/cumming/gracemont,4.0
Great Oaks,"920 GA-138, Monroe, GA 30655",Assisted Living Community,ALC000046,194,http://www.greatoaks.net/home/,1.5
Greenwood Place,"1160 Whitlock Dr SW, Marietta, GA 30064",Assisted Living Community,ALC000206,70,http://www.enlivant.com/communities/georgia/greenwood-place-marietta,3.0
Greenwood Place Retirement Community,"949 W Elm St, Wrightsville, GA 31096",Assisted Living Community,ALC000007,49,http://www.enlivant.com/communities/georgia/greenwood-place-marietta,5.1
Habersham House Senior Residence,"5200 Habersham St, Savannah, GA 31405",Assisted Living Community,ALC000102,72,https://www.fivestarseniorliving.com/communities/ga/savannah/habersham-house,2.5
Habersham Retreat ALC,"258 Park Ave, Baldwin, GA 30511",Assisted Living Community,ALC000267,40,https://habershamretreat.com,3.3
"Harbor at Harmony Crossing, The","923 Harmony Rd, Eatonton, GA 31024",Assisted Living Community,ALC000200,75,https://royalseniorcare.com/harboratharmonycrossing/,1.7
"Harbor at Renaissance Marquis, The / Renaissance Marquis Retirement Village","3126 Cedartown Hwy, Rome, GA 30161",Assisted Living Community and Personal Care Home,ALC000013,PCH006469,https://www.renaissancemarquis.com,0.8
