date,name,license,type,Num of Volations,High severe,Medium severe,Harm,Prev1,Prev2,Prev3
12/7/17,Addington Place of Johns Creek,ALC000279,other,2,2,0,1,0,0,0
4/18/17,Addington Place of Johns Creek,ALC000279,complaint,-,0,0,0,0,0,0
3/2/17,Addington Place of Johns Creek,ALC000279,routine,-,0,0,0,0,0,0
9/30/16,Addington Place of Johns Creek,ALC000279,complaint,-,0,0,0,0,0,0
7/7/16,Addington Place of Johns Creek,ALC000279,complaint,-,0,0,0,0,0,0
1/13/16,Addington Place of Johns Creek,ALC000279,other,-,0,0,0,0,0,0
9/10/15,Addington Place of Johns Creek,ALC000279,routine,6,0,3,0,0,0,0
2/19/15,Addington Place of Johns Creek,ALC000279,Routine / Complaint,3,0,2,0,0,0,0
7/24/19,Alto Senior Living Alpharetta,ALC000264,routine,-,0,0,0,0,0,0
3/12/19,Alto Senior Living Alpharetta,ALC000264,Routine / Complaint,4,1,1,0,0,0,0
8/16/18,Alto Senior Living Alpharetta,ALC000264,complaint,1,0,0,0,0,0,0
8/14/18,Alto Senior Living Alpharetta,ALC000264,complaint,1,0,1,0,0,0,0
7/17/18,Alto Senior Living Alpharetta,ALC000264,complaint,3,0,3,0,0,0,0
3/6/18,Alto Senior Living Alpharetta,ALC000264,routine,-,0,0,0,0,0,0
3/6/17,Alto Senior Living Alpharetta,ALC000264,routine,2,0,1,0,0,0,0
2/22/16,Alto Senior Living Alpharetta,ALC000264,routine,7,0,2,0,0,0,0
4/13/18,Alto Senior Living Buckhead,ALC000265,complaint,1,1,0,0,0,0,0
3/14/18,Alto Senior Living Buckhead,ALC000265,complaint,-,0,0,0,0,0,0
6/23/17,Alto Senior Living Buckhead,ALC000265,other,3,1,2,0,0,3,0
2/28/17,Alto Senior Living Buckhead,ALC000265,other,1,0,0,0,0,0,0
9/15/16,Alto Senior Living Buckhead,ALC000265,routine,24,2,12,0,1,0,0
2/18/16,Alto Senior Living Buckhead,ALC000265,other,1,0,0,0,0,0,0
6/30/15,Alto Senior Living Buckhead,ALC000265,Routine / Complaint,1,0,1,0,0,0,0
1/27/20,Alto Senior Living Marietta,ALC000266,other,-,0,0,0,0,0,0
9/11/19,Alto Senior Living Marietta,ALC000266,Routine / Complaint,-,0,0,0,0,0,0
8/6/19,Alto Senior Living Marietta,ALC000266,complaint,-,0,0,0,0,0,0
11/19/18,Alto Senior Living Marietta,ALC000266,complaint,-,0,0,0,0,0,0
6/26/18,Alto Senior Living Marietta,ALC000266,routine,-,0,0,0,0,0,0
11/2/17,Alto Senior Living Marietta,ALC000266,complaint,-,0,0,0,0,0,0
6/14/17,Alto Senior Living Marietta,ALC000266,complaint,-,0,0,0,0,0,0
5/2/17,Alto Senior Living Marietta,ALC000266,complaint,-,0,0,0,0,0,0
8/3/16,Alto Senior Living Marietta,ALC000266,Routine / Complaint,4,1,0,1,0,0,0
2/10/15,Alto Senior Living Marietta,ALC000266,routine,3,0,0,0,0,0,0
8/27/19,Antebellum Arlington Place,PCH009095,complaint,4,4,0,1,0,0,0
8/13/19,Antebellum Arlington Place,PCH009095,complaint,1,1,0,0,0,0,0
6/12/19,Antebellum Arlington Place,PCH009095,complaint,-,0,0,0,0,0,0
5/29/19,Antebellum Arlington Place,PCH009095,complaint,1,0,1,0,0,0,0
1/23/19,Antebellum Arlington Place,PCH009095,complaint,3,0,0,0,0,0,0
1/7/19,Antebellum Arlington Place,PCH009095,Routine / Complaint,4,3,0,2,0,0,0
12/27/17,Antebellum Arlington Place,PCH009095,complaint,-,0,0,0,0,0,0
12/22/17,Antebellum Arlington Place,PCH009095,Routine / Complaint,1,0,1,0,0,0,0
8/24/17,Antebellum Arlington Place,PCH009095,complaint,-,0,0,0,0,0,0
8/22/17,Antebellum Arlington Place,PCH009095,complaint,1,0,0,0,0,0,0
7/24/17,Antebellum Arlington Place,PCH009095,complaint,1,0,0,0,0,0,0
4/25/17,Antebellum Arlington Place,PCH009095,complaint,2,1,1,0,0,0,0
1/23/17,Antebellum Arlington Place,PCH009095,complaint,1,0,0,0,0,0,0
1/5/17,Antebellum Arlington Place,PCH009095,complaint,-,0,0,0,0,0,0
5/3/16,Antebellum Arlington Place,PCH009095,complaint,1,0,0,0,0,0,0
2/8/16,Antebellum Arlington Place,PCH009095,complaint,-,0,0,0,0,0,0
1/14/16,Antebellum Arlington Place,PCH009095,routine,4,1,3,0,1,0,0
12/15/15,Antebellum Arlington Place,PCH009095,complaint,-,0,0,0,0,0,0
7/31/15,Antebellum Arlington Place,PCH009095,complaint,-,0,0,0,0,0,0
7/2/15,Antebellum Arlington Place,PCH009095,complaint,-,0,0,0,0,0,0
5/6/15,Antebellum Arlington Place,PCH009095,complaint,-,0,0,0,0,0,0
10/30/19,Antebellum Grove Senior Living,76030051,routine,-,0,0,0,0,0,0
7/30/18,Antebellum Grove Senior Living,76030051,complaint,1,0,0,0,0,0,0
12/12/17,Antebellum Grove Senior Living,76030051,routine,-,0,0,0,0,0,0
2/14/17,Antebellum Grove Senior Living,76030051,complaint,-,0,0,0,0,0,0
1/11/17,Antebellum Grove Senior Living,76030051,routine,3,0,0,0,0,0,0
5/20/16,Antebellum Grove Senior Living,76030051,complaint,-,0,0,0,0,0,0
4/18/16,Antebellum Grove Senior Living,76030051,complaint,-,0,0,0,0,0,0
8/26/15,Antebellum Grove Senior Living,76030051,routine,1,0,1,0,0,0,0
10/16/19,Antebellum James Burgess Senior Living,ALC000212,complaint,1,1,0,0,0,0,0
5/2/19,Antebellum James Burgess Senior Living,ALC000212,routine,-,0,0,0,0,0,0
2/16/17,Antebellum James Burgess Senior Living,ALC000212,complaint,2,0,0,0,0,0,0
12/22/16,Antebellum James Burgess Senior Living,ALC000212,Routine / Complaint,1,0,0,0,0,0,0
10/19/16,Antebellum James Burgess Senior Living,ALC000212,other,-,0,0,0,0,0,0
3/31/16,Antebellum James Burgess Senior Living,ALC000212,routine,-,0,0,0,0,0,0
6/18/19,"Arbor Bridgemill, The",ALC000270,Routine / Complaint,-,0,0,0,0,0,0
2/22/18,"Arbor Bridgemill, The",ALC000270,routine,-,0,0,0,0,0,0
8/22/18,Arbor Manor Assisted Living Community,ALC000234,complaint,-,0,0,0,0,0,0
7/16/18,Arbor Manor Assisted Living Community,ALC000234,complaint,-,0,0,0,0,0,0
12/14/17,Arbor Manor Assisted Living Community,ALC000234,routine,17,0,14,0,0,0,0
1/17/17,Arbor Manor Assisted Living Community,ALC000234,routine,-,0,0,0,0,0,0
3/7/19,Arbor Terrace at Cascade,ALC000088,complaint,-,0,0,0,0,0,0
8/13/18,Arbor Terrace at Cascade,ALC000088,routine,-,0,0,0,0,0,0
2/15/18,Arbor Terrace at Cascade,ALC000088,complaint,-,0,0,0,0,0,0
11/8/17,Arbor Terrace at Cascade,ALC000088,complaint,2,1,1,0,0,0,0
10/31/17,Arbor Terrace at Cascade,ALC000088,other,2,2,0,2,0,0,0
5/17/17,Arbor Terrace at Cascade,ALC000088,routine,-,0,0,0,0,0,0
8/9/16,Arbor Terrace at Cascade,ALC000088,complaint,-,0,0,0,0,0,0
3/16/16,Arbor Terrace at Cascade,ALC000088,complaint,-,0,0,0,0,0,0
1/26/16,Arbor Terrace at Cascade,ALC000088,routine,-,0,0,0,0,0,0
5/10/19,Arbor Terrace at Crabapple,ALC000542,complaint,-,0,0,0,0,0,0
9/18/18,Arbor Terrace at Crabapple,ALC000542,routine,-,0,0,0,0,0,0
10/23/17,Arbor Terrace at Crabapple,ALC000542,complaint,-,0,0,0,0,0,0
6/21/17,Arbor Terrace at Crabapple,ALC000542,routine,-,0,0,0,0,0,0
3/18/16,Arbor Terrace at Crabapple,ALC000542,routine,2,0,2,0,0,0,0
7/18/19,Arbor Terrace at Hamilton Mill,ALC000198,routine,-,0,0,0,0,0,0
4/17/19,Arbor Terrace at Hamilton Mill,ALC000198,complaint,1,1,0,1,0,0,0
3/6/19,Arbor Terrace at Hamilton Mill,ALC000198,Routine / Complaint,4,0,1,0,0,0,0
12/12/17,Arbor Terrace at Hamilton Mill,ALC000198,other,-,0,0,0,0,0,0
8/15/17,Arbor Terrace at Hamilton Mill,ALC000198,Routine / Complaint,4,0,1,0,0,0,0
4/18/17,Arbor Terrace at Hamilton Mill,ALC000198,complaint,8,1,1,0,1,0,0
2/14/17,Arbor Terrace at Hamilton Mill,ALC000198,complaint,-,0,0,0,0,0,0
1/3/17,Arbor Terrace at Hamilton Mill,ALC000198,complaint,2,2,0,2,0,0,0
10/12/16,Arbor Terrace at Hamilton Mill,ALC000198,complaint,-,0,0,0,0,0,0
7/27/16,Arbor Terrace at Hamilton Mill,ALC000198,routine,3,0,1,0,0,0,0
12/28/15,Arbor Terrace at Hamilton Mill,ALC000198,routine,-,0,0,0,0,0,0
8/8/19,Arbor Terrace Decatur,ALC000104,complaint,-,0,0,0,0,0,0
4/1/19,Arbor Terrace Decatur,ALC000104,Routine / Complaint,-,0,0,0,0,0,0
3/13/19,Arbor Terrace Decatur,ALC000104,complaint,-,0,0,0,0,0,0
3/28/18,Arbor Terrace Decatur,ALC000104,complaint,1,1,0,0,0,0,0
2/27/18,Arbor Terrace Decatur,ALC000104,routine,1,1,0,1,0,0,0
12/13/17,Arbor Terrace Decatur,ALC000104,complaint,-,0,0,0,0,0,0
10/11/17,Arbor Terrace Decatur,ALC000104,complaint,1,1,0,1,0,0,0
4/20/17,Arbor Terrace Decatur,ALC000104,routine,9,0,2,0,0,0,0
9/1/16,Arbor Terrace Decatur,ALC000104,other,1,1,0,0,0,0,0
12/9/15,Arbor Terrace Decatur,ALC000104,Routine / Complaint,4,0,2,0,0,0,0
3/19/19,Arbor Terrace of Athens,ALC000038,routine,-,0,0,0,0,0,0
12/13/18,Arbor Terrace of Athens,ALC000038,other,-,0,0,0,0,0,0
11/9/18,Arbor Terrace of Athens,ALC000038,other,1,1,0,1,0,0,0
9/5/18,Arbor Terrace of Athens,ALC000038,routine,2,0,1,0,0,0,0
5/9/18,Arbor Terrace of Athens,ALC000038,complaint,1,1,0,0,0,0,0
3/22/18,Arbor Terrace of Athens,ALC000038,complaint,1,0,1,0,0,0,0
2/14/18,Arbor Terrace of Athens,ALC000038,complaint,-,0,0,0,0,0,0
10/18/17,Arbor Terrace of Athens,ALC000038,complaint,-,0,0,0,0,0,0
9/29/17,Arbor Terrace of Athens,ALC000038,complaint,2,2,0,1,0,0,0
8/25/17,Arbor Terrace of Athens,ALC000038,Routine / Complaint,3,0,3,0,0,0,0
3/20/17,Arbor Terrace of Athens,ALC000038,complaint,-,0,0,0,0,0,0
2/9/16,Arbor Terrace of Athens,ALC000038,routine,1,1,0,0,0,0,0
1/12/15,Arbor Terrace of Athens,ALC000038,other,-,0,0,0,0,0,0
11/21/19,Arbor Terrace of Burnt Hickory,ALC000244,complaint,-,0,0,0,0,0,0
3/8/19,Arbor Terrace of Burnt Hickory,ALC000244,routine,-,0,0,0,0,0,0
10/15/18,Arbor Terrace of Burnt Hickory,ALC000244,complaint,2,1,0,1,0,0,0
6/27/18,Arbor Terrace of Burnt Hickory,ALC000244,other,-,0,0,0,0,0,0
4/10/17,Arbor Terrace of Burnt Hickory,ALC000244,routine,-,0,0,0,0,0,0
9/24/19,Arbor Terrace of East Cobb,ALC000555,Routine / Complaint,1,1,0,1,0,0,0
8/29/19,Arbor Terrace of East Cobb,ALC000555,complaint,-,0,0,0,0,0,0
7/16/19,Arbor Terrace of East Cobb,ALC000555,routine,-,0,0,0,0,0,0
4/26/19,Arbor Terrace of East Cobb,ALC000555,complaint,2,0,1,0,0,0,0
10/30/18,Arbor Terrace of East Cobb,ALC000555,routine,-,0,0,0,0,0,0
5/15/18,Arbor Terrace of East Cobb,ALC000555,complaint,-,0,0,0,0,0,0
5/9/17,Arbor Terrace of East Cobb,ALC000555,complaint,1,1,0,1,0,0,0
1/10/17,Arbor Terrace of East Cobb,ALC000555,routine,1,1,0,0,0,0,0
6/2/16,Arbor Terrace of East Cobb,ALC000555,Routine / Complaint,-,0,0,0,0,0,0
1/13/16,Arbor Terrace of East Cobb,ALC000555,other,-,0,0,0,0,0,0
1/13/15,Arbor Terrace of East Cobb,ALC000555,complaint,3,1,2,1,0,0,0
8/8/19,Arbor Terrace of Johns Creek,ALC000197,Routine / Complaint,-,0,0,0,0,0,0
12/14/17,Arbor Terrace of Johns Creek,ALC000197,other,-,0,0,0,0,0,0
7/5/17,Arbor Terrace of Johns Creek,ALC000197,Routine / Complaint,5,0,2,0,0,0,0
6/16/16,Arbor Terrace of Johns Creek,ALC000197,other,1,0,0,0,0,0,0
4/29/16,Arbor Terrace of Johns Creek,ALC000197,complaint,-,0,0,0,0,0,0
3/14/16,Arbor Terrace of Johns Creek,ALC000197,other,-,0,0,0,0,0,0
10/7/15,Arbor Terrace of Johns Creek,ALC000197,routine,-,0,0,0,0,0,0
11/6/19,Arbor Terrace Peachtree City,PCH008808,routine,-,0,0,0,0,0,0
5/10/18,Arbor Terrace Peachtree City,PCH008808,complaint,-,0,0,0,0,0,0
1/8/18,Arbor Terrace Peachtree City,PCH008808,other,-,0,0,0,0,0,0
10/24/17,Arbor Terrace Peachtree City,PCH008808,other,1,1,0,1,0,0,0
8/21/17,Arbor Terrace Peachtree City,PCH008808,routine,1,0,0,0,0,0,0
11/21/16,Arbor Terrace Peachtree City,PCH008808,complaint,-,0,0,0,0,0,0
8/23/16,Arbor Terrace Peachtree City,PCH008808,complaint,2,0,2,0,0,0,0
5/3/16,Arbor Terrace Peachtree City,PCH008808,routine,2,0,0,0,0,0,0
3/23/15,Arbor Terrace Peachtree City,PCH008808,complaint,-,0,0,0,0,0,0
1/6/15,Arbor Terrace Peachtree City,PCH008808,Routine / Complaint,-,0,0,0,0,0,0
3/21/19,Ashbrook Village,ALC000116,routine,-,0,0,0,0,0,0
12/14/16,Ashbrook Village,ALC000116,routine,1,0,1,0,0,0,0
7/6/15,Ashbrook Village,ALC000116,complaint,-,0,0,0,0,0,0
7/6/15,Ashbrook Village,ALC000116,routine,-,0,0,0,0,0,0
10/2/19,Ashley Glen Senior Living and Memory Care,PCH008816,routine,-,0,0,0,0,0,0
4/2/19,Ashley Glen Senior Living and Memory Care,PCH008816,routine,2,0,1,0,0,0,0
10/24/17,Ashley Glen Senior Living and Memory Care,PCH008816,other,-,0,0,0,0,0,0
10/10/17,Ashley Glen Senior Living and Memory Care,PCH008816,complaint,-,0,0,0,0,0,0
7/10/17,Ashley Glen Senior Living and Memory Care,PCH008816,complaint,2,2,0,1,0,0,0
2/14/17,Ashley Glen Senior Living and Memory Care,PCH008816,routine,5,0,4,0,0,0,0
2/5/16,Ashley Glen Senior Living and Memory Care,PCH008816,routine,1,0,1,0,0,0,0
1/2/20,Ashton Manor at Sugarloaf,ALC000061,complaint,-,0,0,0,0,0,0
10/2/19,Ashton Manor at Sugarloaf,ALC000061,complaint,1,1,0,1,0,0,0
8/29/19,Ashton Manor at Sugarloaf,ALC000061,routine,-,0,0,0,0,0,0
5/7/19,Ashton Manor at Sugarloaf,ALC000061,other,4,1,1,0,1,0,0
2/9/19,Ashton Manor at Sugarloaf,ALC000061,Routine / Complaint,12,4,3,1,0,0,0
12/19/18,Ashton Manor at Sugarloaf,ALC000061,complaint,2,1,0,1,0,0,0
6/12/18,Ashton Manor at Sugarloaf,ALC000061,complaint,-,0,0,0,0,0,0
7/11/17,Ashton Manor at Sugarloaf,ALC000061,complaint,1,0,0,0,0,0,0
2/21/17,Ashton Manor at Sugarloaf,ALC000061,complaint,2,0,0,0,0,0,0
1/4/17,Ashton Manor at Sugarloaf,ALC000061,complaint,-,0,0,0,0,0,0
10/21/16,Ashton Manor at Sugarloaf,ALC000061,routine,1,1,0,1,0,0,0
4/28/16,Ashton Manor at Sugarloaf,ALC000061,complaint,1,1,0,0,0,0,0
10/23/15,Ashton Manor at Sugarloaf,ALC000061,other,-,0,0,0,0,0,0
8/12/15,Ashton Manor at Sugarloaf,ALC000061,routine,1,0,0,0,0,0,0
6/23/15,Ashton Manor at Sugarloaf,ALC000061,other,1,1,0,0,0,0,0
3/12/15,Ashton Manor at Sugarloaf,ALC000061,Routine / Complaint,23,2,8,1,5,0,1
1/10/20,"Ashton Senior Living, Gainesville",ALC00195,complaint,-,0,0,0,0,0,0
7/16/19,"Ashton Senior Living, Gainesville",ALC00195,complaint,2,1,0,0,0,0,0
5/21/19,"Ashton Senior Living, Gainesville",ALC00195,complaint,12,7,3,3,0,0,0
4/15/19,"Ashton Senior Living, Gainesville",ALC00195,complaint,4,0,3,0,4,0,0
4/9/19,"Ashton Senior Living, Gainesville",ALC00195,other,1,0,1,0,1,0,0
3/15/19,"Ashton Senior Living, Gainesville",ALC00195,Routine / Complaint,7,4,2,3,0,0,0
7/19/18,"Ashton Senior Living, Gainesville",ALC00195,complaint,3,1,1,0,0,0,0
6/15/18,"Ashton Senior Living, Gainesville",ALC00195,complaint,1,0,1,0,0,0,0
6/13/18,"Ashton Senior Living, Gainesville",ALC00195,complaint,-,0,0,0,0,0,0
4/18/18,"Ashton Senior Living, Gainesville",ALC00195,complaint,1,0,0,0,0,0,0
2/16/18,"Ashton Senior Living, Gainesville",ALC00195,complaint,-,0,0,0,0,0,0
11/15/17,"Ashton Senior Living, Gainesville",ALC00195,other,4,1,1,0,2,0,0
8/17/17,"Ashton Senior Living, Gainesville",ALC00195,other,-,0,0,0,0,0,0
6/8/17,"Ashton Senior Living, Gainesville",ALC00195,routine,8,2,2,1,1,0,0
5/8/17,"Ashton Senior Living, Gainesville",ALC00195,complaint,2,0,0,0,0,0,0
1/14/16,"Ashton Senior Living, Gainesville",ALC00195,routine,-,0,0,0,0,0,0
4/3/19,At Home Senior Living,ALC000591,routine,-,0,0,0,0,0,0
4/5/18,Atherton Place,33030041,routine,-,0,0,0,0,0,0
2/22/17,Atherton Place,33030041,routine,-,0,0,0,0,0,0
8/8/16,Atherton Place,33030041,other,-,0,0,0,0,0,0
4/28/16,Atherton Place,33030041,complaint,1,1,0,1,0,0,0
10/12/15,Atherton Place,33030041,routine,-,0,0,0,0,0,0
9/20/19,Atria Buckhead,PCH007987,complaint,1,0,1,0,0,0,0
8/16/19,Atria Buckhead,PCH007987,routine,-,0,0,0,0,0,0
1/7/19,Atria Buckhead,PCH007987,routine,-,0,0,0,0,0,0
9/6/18,Atria Buckhead,PCH007987,other,-,0,0,0,0,0,0
5/17/18,Atria Buckhead,PCH007987,Routine / Complaint,3,1,1,0,1,0,0
12/13/17,Atria Buckhead,PCH007987,complaint,1,0,1,0,0,0,0
2/9/17,Atria Buckhead,PCH007987,routine,-,0,0,0,0,0,0
9/22/16,Atria Buckhead,PCH007987,complaint,-,0,0,0,0,0,0
4/13/16,Atria Buckhead,PCH007987,complaint,-,0,0,0,0,0,0
3/16/16,Atria Buckhead,PCH007987,routine,10,0,6,0,1,0,0
2/9/15,Atria Buckhead,PCH007987,complaint,-,0,0,0,0,0,0
11/19/19,Atria Mableton,PCH008270,complaint,-,0,0,0,0,0,0
9/4/19,Atria Mableton,PCH008270,complaint,2,2,0,1,0,0,0
3/29/19,Atria Mableton,PCH008270,Routine / Complaint,1,0,0,0,0,0,0
10/31/18,Atria Mableton,PCH008270,routine,-,0,0,0,0,0,0
10/19/17,Atria Mableton,PCH008270,complaint,-,0,0,0,0,0,0
10/2/17,Atria Mableton,PCH008270,other,2,0,0,0,0,0,0
4/26/17,Atria Mableton,PCH008270,complaint,2,1,1,0,0,0,0
2/24/17,Atria Mableton,PCH008270,routine,-,0,0,0,0,0,0
6/1/16,Atria Mableton,PCH008270,complaint,-,0,0,0,0,0,0
4/13/16,Atria Mableton,PCH008270,complaint,-,0,0,0,0,0,0
1/28/16,Atria Mableton,PCH008270,other,-,0,0,0,0,0,0
10/7/15,Atria Mableton,PCH008270,routine,1,0,1,0,0,0,0
7/24/19,Atria North Point,ALC000055,complaint,-,0,0,0,0,0,0
6/3/19,Atria North Point,ALC000055,routine,1,0,1,0,0,0,0
2/23/18,Atria North Point,ALC000055,routine,1,1,0,0,0,0,0
10/12/17,Atria North Point,ALC000055,complaint,1,0,0,0,0,0,0
4/10/17,Atria North Point,ALC000055,routine,5,0,1,0,0,0,0
1/31/17,Atria North Point,ALC000055,complaint,-,0,0,0,0,0,0
6/1/16,Atria North Point,ALC000055,other,-,0,0,0,0,0,0
3/24/16,Atria North Point,ALC000055,other,-,0,0,0,0,0,0
12/17/15,Atria North Point,ALC000055,routine,10,0,1,0,0,0,0
7/15/19,Atria Park of Tucker,PCH008271,Routine / Complaint,-,0,0,0,0,0,0
4/4/18,Atria Park of Tucker,PCH008271,Routine / Complaint,4,1,1,1,0,0,0
12/16/16,Atria Park of Tucker,PCH008271,Routine / Complaint,1,0,1,0,0,0,0
10/7/15,Atria Park of Tucker,PCH008271,routine,1,0,0,0,0,0,0
10/21/19,Augusta Gardens Retirement Res,121030131,complaint,3,0,0,0,0,0,0
6/26/19,Augusta Gardens Retirement Res,121030131,routine,-,0,0,0,0,0,0
4/16/19,Augusta Gardens Retirement Res,121030131,complaint,1,0,1,0,0,0,0
4/16/19,Augusta Gardens Retirement Res,121030131,routine,-,0,0,0,0,0,0
4/11/19,Augusta Gardens Retirement Res,121030131,routine,-,0,0,0,0,0,0
3/11/19,Augusta Gardens Retirement Res,121030131,routine,-,0,0,0,0,0,0
1/29/19,Augusta Gardens Retirement Res,121030131,complaint,4,0,1,0,0,0,0
10/31/18,Augusta Gardens Retirement Res,121030131,Routine / Complaint,6,0,3,0,1,0,0
7/30/18,Augusta Gardens Retirement Res,121030131,complaint,2,2,0,1,0,0,0
11/13/17,Augusta Gardens Retirement Res,121030131,other,1,0,1,0,1,0,0
8/14/17,Augusta Gardens Retirement Res,121030131,Routine / Complaint,6,0,0,0,0,0,0
4/13/17,Augusta Gardens Retirement Res,121030131,complaint,-,0,0,0,0,0,0
2/27/17,Augusta Gardens Retirement Res,121030131,complaint,-,0,0,0,0,0,0
12/12/16,Augusta Gardens Retirement Res,121030131,complaint,-,0,0,0,0,0,0
11/2/16,Augusta Gardens Retirement Res,121030131,complaint,-,0,0,0,0,0,0
9/6/16,Augusta Gardens Retirement Res,121030131,Routine / Complaint,3,0,1,0,0,0,0
1/19/16,Augusta Gardens Retirement Res,121030131,complaint,-,0,0,0,0,0,0
8/3/15,Augusta Gardens Retirement Res,121030131,complaint,-,0,0,0,0,0,0
7/1/15,Augusta Gardens Retirement Res,121030131,routine,16,0,9,0,3,0,0
3/21/18,Autumn Breeze Senior Living,69030041,other,-,0,0,0,0,0,0
12/8/17,Autumn Breeze Senior Living,69030041,Routine / Complaint,1,0,1,0,0,0,0
7/6/17,Autumn Breeze Senior Living,69030041,complaint,10,5,1,3,0,0,0
8/3/16,Autumn Breeze Senior Living,69030041,routine,6,2,1,0,0,0,0
12/17/15,Autumn Breeze Senior Living,69030041,complaint,-,0,0,0,0,0,0
11/2/15,Autumn Breeze Senior Living,69030041,complaint,4,1,2,1,0,0,0
10/26/15,Autumn Breeze Senior Living,69030041,complaint,-,0,0,0,0,0,0
2/9/15,Autumn Breeze Senior Living,69030041,routine,9,0,5,0,3,0,0
1/5/15,Autumn Breeze Senior Living,69030041,other,1,1,0,0,0,0,0
11/12/19,Autumn Leaves of Towne Lake,ALC000148,complaint,-,0,0,0,0,0,0
8/15/19,Autumn Leaves of Towne Lake,ALC000148,Routine / Complaint,4,2,1,1,0,0,0
8/15/17,Autumn Leaves of Towne Lake,ALC000148,Routine / Complaint,-,0,0,0,0,0,0
12/28/16,Autumn Leaves of Towne Lake,ALC000148,other,-,0,0,0,0,0,0
9/19/16,Autumn Leaves of Towne Lake,ALC000148,Routine / Complaint,7,2,3,1,0,0,0
4/13/15,Autumn Leaves of Towne Lake,ALC000148,Routine / Complaint,-,0,0,0,0,0,0
11/27/17,Autumn Leaves of Windward,ALC000236,complaint,1,0,0,0,0,0,0
2/9/17,Autumn Leaves of Windward,ALC000236,routine,-,0,0,0,0,0,0
3/4/19,Autumn Square,22030011,routine,-,0,0,0,0,0,0
3/4/19,Autumn Square,22030011,routine,-,0,0,0,0,0,0
3/16/17,Autumn Square,22030011,routine,-,0,0,0,0,0,0
10/20/15,Autumn Square,22030011,routine,2,0,1,0,0,0,0
1/25/19,Autumn Village Assisted Living Facility,18030021,Routine / Complaint,2,0,2,0,0,0,0
7/9/18,Autumn Village Assisted Living Facility,18030021,other,1,1,0,0,0,1,0
